city,country,lat,lon,temp,humid,cloud,windsp
fortuna,us,40.5982,-124.1573,59.14,67,90,5.99
safita,sy,34.8205,36.1153,71.51,62,0,0.96
camopi,gf,3.1655,-52.3158,71.85,99,98,1.3
san felipe,ve,10.3399,-68.7425,72.59,99,77,1.95
dharchula,in,29.85,80.5333,71.83,60,8,6.31
lieksa,fi,63.3167,30.0167,24.98,86,58,6.96
nerchinsk,ru,51.9833,116.5833,46.24,46,50,9.15
duekoue,ci,6.7472,-7.3496,70.34,99,96,0.54
seoul,kr,37.5683,126.9778,62.98,45,0,8.05
tura,ru,25.5198,90.2201,80.92,57,2,2.44
whyalla,au,-33.0333,137.5833,67.89,42,0,18.41
gazojak,tm,41.1875,61.4036,59.18,18,0,16.6
fairbanks,us,64.8378,-147.7164,26.58,86,1,0
purpe,ru,64.4803,76.6897,31.08,84,97,18.1
mareeba,au,-17,145.4333,85.46,50,32,10.98
sabang,id,5.8933,95.3214,82.04,73,89,5.39
ouro preto do oeste,br,-10.7481,-62.2158,77.95,71,9,6.46
krasnoselkup,ru,65.7,82.4667,32.83,96,100,17.65
bronte,it,37.7895,14.8342,62.02,87,100,7.43
arlit,ne,18.7369,7.3853,81.68,15,3,9.48
sao filipe,cv,14.8961,-24.4956,77.9,69,11,10.76
senador pompeu,br,-5.5881,-39.3717,75.43,84,53,5.26
hermiston,us,45.8404,-119.2895,51.3,80,92,5.7
moen,no,69.1304,18.6123,18.36,93,90,3.44
los llanos de aridane,es,28.6585,-17.9182,64.13,78,75,8.99
toamasina,mg,-18.1667,49.3833,80.6,83,75,6.91
assiniboia,ca,49.6334,-105.9845,39.02,81,100,13.8
luanda,ao,-8.8368,13.2343,75.2,83,75,9.22
claveria,ph,18.6074,121.0832,83.79,75,74,13.56
bahia blanca,ar,-38.7196,-62.2724,48.38,53,0,7.83
buzmeyin,tm,38.0507,58.2056,55.13,47,44,4.61
wajima,jp,37.4,136.9,63.28,55,40,3.44
garissa,ke,-0.4536,39.6401,83.55,54,10,13.18
ingleside,us,27.8778,-97.2117,77.68,89,40,4
topchanchi,in,23.9,86.2,82.71,50,14,0.69
semporna,my,4.4818,118.6112,88,75,99,4.38
kruisfontein,za,-34.0033,24.7314,61.88,54,7,12.46
ancud,cl,-41.8697,-73.8203,45.93,86,91,14.23
muzhi,ru,65.3667,64.6667,29.53,74,9,19.1
